title	reserve_percent	audience	director	producer	actor_and_actress	genre	release_date
패솔로지	0.0%	6명	마크쇼엘러만		밀로벤티지글리아,마이클웨스톤	드라마,스릴러	 www.pathology2008.co.kr/
지휘자를 위한 1분	0.0%	5명	앙헬에스테반,엘레나고아텔리			다큐멘터리	2014.12.04
일곱난쟁이	0.0%	176명	헤랄드지페르만		바로,이제인,남도형,김옥경,이장원,윤세웅,임채헌,김경희	코미디,뮤지컬,애니메이션	2014.12.24
몽키킹: 손오공의 탄생	0.0%	1명	정바오루이		견자단,주윤발,곽부성	환타지,액션,어드벤처	 blog.naver.com/monkeykingv
룸13	0.0%	1명	데이빗그로빅		로버트드니로,존쿠삭,도미닉퍼셀,레베카다코스타,크리스핀글로버	범죄,스릴러	2014.11.13
꼬마잠수함 올리2	0.0%	22명	밥두셋		김경희,최윤정,권문정,윤세웅,서원석,박상훈	애니메이션	 story.kakao.com/ch/yejiliment
터보(드림웍스기획전)	0.0%	2명	데이빗소렌		사무엘잭슨,폴지아마티,커트우드스미스,미셀로드리게즈,스눕독,라이언레이놀즈,루이스구즈만,리차드젠킨스,빌헤이더,마이클페나,마야루돌프,켄정,벤슈와츠	애니메이션	 blog.naver.com/dw_movie
드래곤 길들이기2(드림웍스기획전)	0.0%	6명	딘데블로이스		제이바루첼,제라드버틀러,아메리카페레라,크리스튼위그,조나힐,크리스토퍼민츠플래스,밀러	액션,가족,환타지,애니메이션,어드벤처,코미디	 www.facebook.com/dreamworks.kr
마다가스카3 : 이번엔 서커스다(드림웍스기획전)	0.0%	14명	에릭다넬		벤스틸러,데이빗쉼머,제이다핀켓스미스	애니메이션,어드벤처,코미디	 www.madagascar3.co.kr
크루즈 패밀리(드림웍스기획전)	0.0%	4명	커크드미코,크리스샌더스		니콜라스케이지,라이언레이놀즈,엠마스톤	가족,애니메이션,어드벤처,코미디	2014.11.15
쿵푸팬더 2(드림웍스기획전)	0.0%	11명	여인영제니퍼여넬슨		잭블랙,안젤리나졸리,더스틴호프만,성룡,루시리우,양자경,게리올드만,세스로건,데이비드크로스	액션,애니메이션,코미디	 www.kungfupanda2movie.co.kr/SPECIAL
가디언즈(드림웍스기획전)	0.0%	25명	피터램지		이제훈,크리스파인,류승룡,알렉볼드윈,이종혁,주드로,한혜진,아일라피셔,유해진,휴잭맨	애니메이션,어드벤처	2014.11.15
갈증	0.0%	30명	나카시마테츠야		야쿠쇼코지,고마츠나나,츠마부키사토시,오다기리죠,나카타니미키	드라마,범죄	 www.facebook.com/challanfilm
맵 투 더 스타	0.0%	38명	데이비드크로넨버그		줄리안무어,미아와시코브스카,사라가돈,존쿠삭,로버트패틴슨	드라마	2014.12.25
무드 인디고	0.0%	328명	미셸공드리		로망뒤리스,오드리토투,게드엘마레,에이사마이가,오마사이	드라마,환타지	2014.12.11
뽀로로극장판눈요정마을대모험	0.0%	441명	김현호		이선,함수정,홍소영,이미자,정미숙,김환진,김서영,문남숙,온영삼,손종환	애니메이션	2015.10.22(재개봉)
제자, 옥한흠	0.0%	9명	김상철		권오중,옥한흠,김영순,오정현,이찬수,김명호,반기성,홍정길,이동원,하용조,옥성호	다큐멘터리	 www.oak2014.com
상의원	0.0%	1,946명	이원석		한석규,고수,박신혜,유연석	드라마	 sangeuiwon.com
덕수리 5형제	0.0%	225명	전형준		윤상현,송새벽,이아이,황찬성,김지민,이광수	스릴러,코미디	 deoksuri5.kr
마담 보바리	0.0%	15명	앤폰테인		젬마아터튼,파브리스루치니	로맨스,드라마,멜로	2015.04.02
개를 훔치는 완벽한 방법	0.0%	855명	김성호		김혜자,이레,최민수,강혜정,이천희,이지원,홍은택	드라마	 www.steal-dog.co.kr
우리별 일호와 얼룩소	0.0%	27명	장형윤		유아인,정유미	애니메이션,환타지,어드벤처	 www.milkcow2014.kr
아메리칸 허슬	0.0%	365명	데이빗러셀		크리스찬베일,에이미아담스,브래들리쿠퍼,제니퍼로렌스,제레미레너	범죄,드라마,스릴러	2014.02.20
여배우는 너무해	0.0%	2명	유정환		조현재,차예련	로맨스,코미디,멜로	2014.02.27
사랑의 유효기간은 3년	0.0%	2명	프레데릭베그베데		개스파드프로스트,루이즈보르고앙,조이스타,조나단랑베르,니콜라스베도스	로맨스,멜로,코미디	2014.02.13
다이버전트	0.1%	465명	닐버거		쉐일린우들리,케이트윈슬렛,테오제임스,매기큐	,환타지,액션,로맨스,멜로	 www.divergent.co.kr
프랑켄슈타인	0.1%	221명	스튜어트베티		아론에크하트,빌나이,미란다오토,이본스트라호브스키	액션	 frankenstein.brandsbox.co.kr/album/322
신이보낸사람	0.0%	249명	김진무		김인권,홍경인,지용석,안병경	드라마	 apostle2014.kr 
슈퍼노바 지구 탈출기 	0.0%	22명	캘런브런커		브렌든프레이저,제시카알바,사라제시카파커,롭코드리	애니메이션,어드벤처,코미디,가족,	 supernova2014.co.kr
어네스트와 셀레스틴	0.0%	42명	뱅상파타,스테판오비에,벤자민레너		장광,박지윤,램버트윌슨,폴린브루너	애니메이션,코미디,드라마	 www.ernestandcelestine.co.kr
굿모닝맨하탄	0.6%	42명	가우리신드		스리데비,아딜후세인,메디네브부	코미디,드라마	2014.02.06
폴리스 스토리 2014	0.0%	105명	딩성		성룡,류예,경첨	액션,범죄,드라마	2014.01.29
투 러버스	0.1%	4명	제임스그레이		기네스펠트로,호아킨피닉스,비네사쇼	로맨스,멜로	2015.09.21(재개봉)
현기증	0.0%	18명	이돈구		김영애,도지원,송일국,김소은	드라마	2014.11.06
강남1970	0.0%	3,675명	유하		이민호,김래원,정진영,김지수	드라마,느와르	2015.01.21
허삼관	0.0%	1,842명	하정우		하정우,하지원,전혜진,장광,주진모,성동일,이경영,정만식,조진웅,김기천,김성균,윤은혜,황보라	드라마	 herc.co.kr
신의 한 수	0.0%	4,030명	조범구		정우성,이범수,안성기,김인권,이시영,안길강,최진혁	액션,느와르,범죄	2014.07.02
몬스터	0.1%	531명	황인호		이민기,김고은,김뢰하,안서현,김부선,남경읍,김보라	스릴러	 monster2014.co.kr
해무	0.2%	2,417명	심성보		김윤석,박유천,한예리,이희준,문성근,김상호,유승목	드라마	 www.haemoo.co.kr
협녀, 칼의 기억	0.0%	1,732명	박흥식		이병헌,전도연,김고은	액션,드라마	 협녀.kr
역린	0.0%	3,074명	이재규		현빈,정재영,조정석,조재현,한지민,김성령,박성웅,정은채	시대극	 king2014.kr
내 곁에 있어줘	0.0%	0명	에릭쿠		테레사찬,시트켕예,에잔리,린포,치우성칭	드라마	2009.12.17
뎀	0.0%	0명	자비에팔뤼		올리비아보나미,미카엘꼬엔	호러,스릴러	 www.thethem.co.kr
포도나무를 베어라	0.0%	0명	민병훈		서장원,기주봉	드라마	 blog.naver.com/thegrapevine
레이디 인 더 워터	0.0%	5명	나이트샤말란		폴지아매티,브라이스달라스하워드,밥발라반,나이트샤말란,제어드해리스	드라마,환타지,미스터리	 ladyinthewatermovie.warnerbros.com
해바라기	0.0%	39명	강석범		김래원,허이재,김해숙	액션,드라마	 www.haebaragi2006.co.kr/
싸이보그지만 괜찮아	0.0%	20명	박찬욱		임수정,정지훈	코미디,드라마,로맨스	 www.cyborg2006.co.kr
타짜	0.0%	171명	최동훈		조승우,백윤식,김혜수,유해진	드라마	 www.tazza2006.co.kr
거룩한 계보	0.0%	45명	장진		정재영,정준호	드라마	 www.great2006.com/
짝패	0.0%	38명	류승완		류승완,정두홍,이범수,김동영,온주완	액션	 www.zzakpai.com
헷지	0.0%	25명	팀존슨,케이리커크패트릭		브루스윌리스,개리샌들링,스티브카렐,셰인바우멜,토마스헤이든처치	가족,애니메이션,코미디	 www.hedge2006.co.kr
안소니 짐머	0.0%	0명	제롬살레		소피마르소,이방아딸,새미프레이,질레를르슈,다니엘올브리츠스키	로맨스,스릴러	 www.cjent.co.kr/AnthonyZimmer
보이지 않는 물결	0.0%	0명	펜엑라타나루앙		아사노타다노부,강혜정,증지위	드라마	 blog.naver.com/waves2006
메종 드 히미코	0.0%	6명	이누도잇신		오다기리죠,시바사키코우,다나카민,아오야마키라,이노우에히로카즈	드라마	 cafe.naver.com/spongehouse
가필드 2	0.0%	1명	팀힐		브렉킨메이어,제니퍼러브휴이트,빌리코놀리,루시데이비스,이안에이버크롬비	애니메이션,코미디,가족	 www.foxkorea.co.kr/garfield2
오멘	0.0%	7명	존무어		리브슈라이버,줄리아스타일스,미아패로우,데이빗툴리스,마이클갬본	호러	 www.foxkorea.co.kr/omen/
행운을 돌려줘!	0.0%	1명	도날드페트리		린지로핸,크리스파인,새메어암스트롱,카를로스폰스,브리터너	코미디,드라마,로맨스	 www.foxkorea.co.kr/luck
아이스 에이지 2	0.0%	6명	카를로스살다나		레이로마노,존레귀자모,데니스리어리,퀸라티파,숀윌리암스코트	애니메이션,코미디,가족	 www.foxkorea.co.kr/iceage2
센티넬	0.0%	7명	클라크존슨		마이클더글라스,키퍼서덜랜드,킴베이싱어,에바롱고리아,데이빗래쉬	액션,드라마,스릴러,범죄	 www.sentinelthemovie.com
우리개 이야기	0.0%	0명	이누도잇신		나카무라시도,미야자키아오이,이토미사키,아마미유키	드라마	2006.06.08
공필두	0.0%	0명	공정식		이문식,김수로,김유미,최여진,변희봉	코미디	 www.gong2006.co.kr
더 로프트: 비밀의 방	0.0%	97명	에릭반루이		웬트워스밀러,칼어번,제임스마스던,로나미트라,이사벨루카스	스릴러	2015.10.01
미안해 사랑해 고마워	0.0%	287명	전윤수		지진희,김성균,성유리,김영철,이계인,곽지혜	드라마	 saynow2015.kr
하트 오브 더 씨	0.0%	6,233명	론하워드		크리스햄스워스,킬리언머피,벤위쇼,샬롯라일리,브렌단글리슨,벤자민워커	어드벤처,드라마	2015.12.03
열정같은소리하고있네	0.0%	4,051명	정기훈		정재영,박보영,오달수,진경,배성우,류현경,류덕환,윤균상	드라마	2015.11.25
그놈이다	0.0%	6,265명	윤준형		주원문준원,유해진,이유영	스릴러	 gnom2015.kr 
검은 사제들	0.1%	26,214명	장재현		김윤석,강동원,박소담	드라마,미스터리	 priests.modoo.at
위아 유어 프렌즈	0.0%	240명	맥스조셉		잭에프론,에밀리라타이코프스키,웨스벤틀리,조니웨스턴,실로페르난데즈,알렉스샤퍼,존번탈	드라마,로맨스,멜로	 www.facebook.com/CinemaRepublic.kr 
앙리 앙리	0.0%	48명	마르탕탈보		빅터안드레튀르종트렐레,소피드마레	드라마	2015.10.29
라이엇 클럽	0.0%	108명	론쉐르픽		샘클라플린,맥스아이언스,더글라스부스	드라마	2015.10.22
슬로우 웨스트	0.1%	337명	존맥클린		마이클패스벤더,코디스밋맥피,벤멘델슨	액션,스릴러	2015.10.08
더 비지트	0.0%	431명	나이트샤말란		캐스린한,캐서린한,피터맥로비,에드옥슨볼드,올리비아데종	스릴러,호러	2015.10.15
슬리핑 위드 아더 피플	0.0%	84명	레슬리헤드랜드		알리슨브리,제이슨서디키스,아만다피트,아담스콧	코미디	2015.10.22
슈퍼 스파이: 수상한 임무	0.0%	40명	하비에르페서			애니메이션,코미디	2015.10.15
어린왕자	0.0%	4,709명	마크오스본		제프브리지스,레이첼맥아담스,맥켄지포이,마리옹꼬띠아르,제임스프랭코,베네치오델토로,알버트브룩스,릭키제바이스,폴지아마티,버드코트,릴리오스본	애니메이션,환타지	 littleprince2015.kr
몬스터 헌트	0.0%	158명	라맨허		바이바이허,탕웨이,정백연,증지위,오군여	환타지,액션,어드벤처	2015.11.12
세상끝의 사랑	0.0%	18명	김인식		한은정,조동혁,공예지	로맨스,멜로	 facebook.com/stormpictureskorea
미스터 레오스 카락스	0.0%	12명	테사루이즈살로메		줄리엣비노쉬,드니라방,하모니코린,카일리미노그,미레일페리에	다큐멘터리,미스터리	 www.facebook.com/audcine 
챔피언 프로그램	0.0%	69명	스티븐프리어스		벤포스터,크리스오다우드,리페이스,기욤까네	드라마	2015.10.28
스타워즈: 깨어난 포스	0.0%	19,327명	에이브럼스		데이지리들리,존보예가,오스카아이삭,아담드라이버,그웬돌린크리스티,돔놀글리슨,해리슨포드	액션,어드벤처,환타지,	 www.starwarsmovie.kr
돌연변이	0.0%	760명	권오광		이광수,이천희,박보영	드라마,코미디	 www.facebook.com/butterflycj
풀 스피드	0.0%	35명	니콜라스베나무		호세가르시아,카롤린비뇨,앙드레뒤솔리에	코미디	2017.08.24
부니베어: 나무 도둑의 습격	0.0%	119명	정량		박상훈,홍진욱,윤세웅,이소은,임채헌	애니메이션	2017.09.14
파리 시청 앞에서의 키스: 로베르 두아노	0.0%	150명	클레망틴드루디유		클레망틴드루디유,로베르두아노	다큐멘터리	2017.08.24
몬스터콜	0.0%	5,271명	후안안토니오바요나		시고니위버,펠리시티존스,루이스맥더겔,리암니슨	환타지,드라마	2017.09.14
라스트 모히칸	0.0%	715명	마이클만		다니엘데이루이스,매들린스토우	액션,로맨스,멜로,전쟁	2017.09.14
딥씨 챌린지	0.0%	172명	존브루노,레이퀸트,앤드류라이트		제임스카메론,프랑코로티토	다큐멘터리	2017.11.30
넬리	0.0%	64명	안에몽		밀렌맥케이	드라마	2017.08.24
베이비 드라이버	0.1%	35,205명	에드가라이트		안셀엘고트,케빈스페이시,릴리제임스,에이사곤살레스,존햄,제이미폭스	범죄,액션,느와르,스릴러	2017.09.14
나인스 라이프	0.0%	475명	알렉산드르아야		제이미도넌,사라가돈,아론폴	미스터리,스릴러	2017.09.07
인비저블 게스트	0.0%	6,851명	오리올파울로		마리오카사스,바라라레니,호세코로나도,안나와게너	미스터리,범죄,느와르,스릴러	2017.09.21
너의 췌장을 먹고 싶어	0.0%	23,259명	츠키카와쇼		하마베미나미,키타무라타쿠미,키타가와케이코,오구리슌	드라마	 pancreas-movie.kr
[먹고사니즘 들여다보기, 사이다 경제 문답] CGV X 마이크임팩트 강연프로젝트 Vol.19	0.1%	6명					2017.09.14
아이캔스피크	0.1%	66,268명	김현석	이하영	나문희,이제훈	코미디	 www.icanspeak2017.co.kr
로마의 휴일	0.0%	2,191명	이덕희		임창정,공형진,정상훈	드라마,코미디	 roma2017.kr
극장판 에그엔젤 코코밍-푸르밍과 두근두근 코코밍 세계	0.0%	2,796명	닛타노리오		이지현,여윤미,여민정,방연지,양정화,조현정,안영미	애니메이션	2017.09.07
파리 투 마르세유: 2주간의 여행	0.0%	261명	라시드드자이다니		제라르드빠르디유,사덱	드라마	2017.09.07
미션 이스탄불	0.0%	64명	크리스티앙알바트		틸슈바이거,파리야르딤,루나슈바이거	액션	2017.08.17
스파이 게임	0.0%	676명	마이클앱티드		누미라파스,올랜도블룸,토니콜렛,존말코비치,마이클더글라스	액션,스릴러	2017.09.14
남한산성	0.0%	62,798명	황동혁		이병헌,김윤석,박해일,고수,박희순	드라마,시대극	 namhan-sanseong.kr/
딥	0.0%	2,841명	줄리오소토거피드		심규혁,사문영,이인성,이지현	애니메이션	2017.10.03
인터스테이트	0.0%	0명	밥게일		제임스마스든,게리올드먼,크리스쿠퍼,에이미스마트,앤마그렛	어드벤처,코미디,드라마	 www.interstate.co.kr
오픈 레인지	0.0%	0명	케빈코스트너		로버트듀발,케빈코스트너,아네트베닝,마이클갬본,마이클제터	액션,드라마,로맨스,웨스턴	 www.openrange.co.kr
프리키 프라이데이	0.0%	0명	마크워터스		제이미리커티스,린지로핸,마크하몬,해롤드굴드,스티븐토보로우스키	코미디,드라마	 www.freakyfriday.co.kr
트윈 이펙트	0.0%	0명	임초현		성룡,정이건,진관희,황추생,막문위	액션	 www.twineffect.co.kr/ 
주온2	0.0%	1명	시미즈다카시		사카이노리코,니이야마치하루,호리에케이,이치가와유이,가츠라야마신고	호러	 www.juon2.co.kr
우디 앨런의 애니씽 엘스	0.0%	2명	우디앨런		우디앨런,제이슨빅스,크리스티나리치,지미팔론,스토커드채닝	코미디,로맨스	 www.anything2005.com
음양사	0.0%	0명	다키타요지로		노무라만사이,이토히데아키,이마이에리코,에모토아키라,코이즈미쿄코	액션,어드벤처,드라마,환타지	 www.onmyoji.co.kr
알렉산더	0.0%	23명	올리버스톤		콜린패럴,안소니홉킨스,안젤리나졸리,제어드레토,조나단라이메이어스	액션,어드벤처,드라마	 www.alexander2004.co.kr
스텝포드 와이프	0.0%	5명	프랭크오즈		니콜키드먼,매튜브로데릭,크리스토퍼웰켄,페이스힐,글렌클로즈	코미디,드라마,스릴러	 www.stepford.co.kr
저지걸	0.0%	3명	케빈스미스		벤애플렉,제니퍼로페즈,리브타일러,조지칼린,라쿠엘카스트로	코미디,드라마,로맨스	 www.jerseygirl.co.kr
동해물과 백두산이	0.0%	8명	안진우		정준호,공형진,류현경,박철,박상욱	코미디	 www.dongback2004.co.kr/
스노우보더	0.0%	0명	올리아스바르코		니콜라스뒤보셸,그레구아르꼴랭,줄리엣고도,프랭크칼푼,띠에리레르미뜨	액션	 www.snowboarder2003.co.kr
참을 수 없는 사랑	0.0%	3명	조엘코엔,에단코엔		조지클루니,캐서린제타존스,제프리러쉬,빌리밥손튼,키어스텐워렌	코미디,로맨스	 ic.movist.com
콜드 마운틴	0.0%	1명	안소니밍겔라		쥬드로,니콜키드먼,르네젤위거,나탈리포트먼,필립시무어호프먼	드라마,로맨스,전쟁	 www.coldmountain.co.kr
그녀를 모르면 간첩	0.0%	1명	박한준		김정화,공유,백일섭,남상미,자두	코미디,로맨스	 www.spygirl.co.kr
엘리시움	0.0%	0명	권재웅		김장,김정아	애니메이션	 www.elysium.co.kr/
씨비스킷	0.0%	0명	게리로스		데이빗맥컬로우,제프브리지스,폴빈센트오코너,크리스쿠퍼,토비매과이어	드라마	 www.seabiscuitmovie.co.kr
S.W.A.T. 특수기동대	0.0%	10명	클라크존슨		사무엘잭슨,콜린패럴,제레미레너,미셸로드리게즈,쿨	액션,스릴러	 www.swatthemovie.com/movies/s.w.a.t./index.html
고독이 몸부림칠 때	0.0%	0명	이수인		주현,김무생,박영규,송재호,선우용녀	코미디,드라마	 www.momburim.co.kr
말죽거리 잔혹사	0.0%	42명	유하		권상우,이정진,한가인,김인권,박효준	액션,드라마	 www.maljuk.com
12 솔져스	0.0%	16,115명	니콜라이퓰시		크리스헴스워스,마이클페나,마이클섀넌,트래반트로즈	액션,드라마,전쟁	2018.01.31
마야2	0.0%	892명	노엘클레어리,세르지오델피노		김서영,김명준,임채헌,코코잭질리스,저스틴클락,리차드록스버그,김소희	애니메이션	2018.02.01
B급 며느리	0.0%	218명	선호빈	박진석	김진영,조경숙	다큐멘터리	2018.01.17
앤트로포이드	0.0%	0명	숀엘리스		킬리언머피,제이미도넌	스릴러,전쟁	2018.01.18
더 히어로	0.0%	78명	브렛헤일리		샘엘리어트,로라프레폰	코미디,드라마	2018.02.01
첫키스만 50번째	0.0%	11명	피터시걸		아담샌들러,드류배리모어	코미디	2017.06.22(재개봉)
리틀 뱀파이어	0.0%	238명	리처드클라우스,카르스텐킬레리치		짐카터,앨리스크리지,라스무스하디커,팀피곳스미스	애니메이션	 www.facebook.com/mustseeani
식스 빌로우	0.0%	153명	스캇워프		조쉬하트넷,미라소르비노	드라마,스릴러	2018.01.25
인시디어스4: 라스트 키	0.0%	8,227명	애덤로비텔		린샤예,스펜서로크,조쉬스튜어트,하비에르보텟	호러,미스터리,스릴러	2018.01.31
공동정범	0.0%	322명	이혁상,김일란		이충연,김주환,천주석,김창수,지석준	다큐멘터리	2018.01.25
다키스트 아워	0.0%	3,157명	조라이트		게리올드만,크리스틴스콧토마스,릴리제임스,벤멘델슨,스티븐딜레인	드라마,전쟁	2018.01.17
찰스 디킨스의 비밀 서재	0.0%	621명	바랫낼러리		크리스토퍼플러머,댄스티븐스,조나단프라이스	드라마,환타지	2018.01.11
패딩턴 2	0.0%	6,496명	폴킹		휴그랜트,벤위쇼,브렌단글리슨,짐브로드벤트,줄리월터스,이멜다스턴톤	코미디,드라마	2018.02.08
피의 연대기	0.0%	345명	김보람	오희정	여경주,심이안,김보람,이슬기,박현지	다큐멘터리	2018.01.18
온리 더 브레이브	0.0%	2,240명	조셉코신스키		조슈브롤린,마일즈텔러,제프브리지스,테일러키취,제니퍼코넬리	드라마	2018.03.07
쿵푸몽키	0.0%	190명	폴왕			애니메이션	2018.01.25
하이 스트렁	0.0%	183명	마이클데미안		키넌캄파,니콜라스갈리친	드라마,로맨스,멜로	2018.01.04
극장판 레이디버그: 미라클스톤의 비밀	0.0%	418명	토마스아스트뤽		여민정,남도형	애니메이션	2018.01.25
지대넓얕 채사장 신간 출간 기념 북콘서트	0.4%	37명					2018.01.10
그녀는 거짓말을 너무 사랑해	0.0%	458명	코이즈미노리히로		사토타케루,오오하라사쿠라코	로맨스,멜로	2018.01.24
노마: 뉴 노르딕 퀴진의 비밀	0.0%	131명	피에르데샹		르네레드제피	다큐멘터리	2016.07.28
러브라이브! 선샤인!! 모두와 함께 상영회!!	0.1%	22명					2016.07.23
사랑과 어둠의 이야기	0.0%	337명	나탈리포트만		나탈리포트만,아미르테슬러,길라드카하나	드라마	2016.09.01
볼쇼이 바빌론	0.0%	23명	닉리드		세르게이필린,블라디미르유린,마리아알렉산드로바,아나스타샤메스코바	다큐멘터리	 www.facebook.com/hwasuboon
피닉스 라이트 사건	0.0%	4명	키스아렘		마이클아담스웨이트,유리로웬탈,트로이베이커,트라비스월링햄,리암오브라이언	미스터리,스릴러	2016.08.03
이레셔널 맨	0.0%	2,063명	우디앨런		호아킨피닉스,엠마스톤	드라마,미스터리	 facebook.com/prainmovie
노조키메	0.0%	82명	미키코이치로		이타노토모미,시라이시슌야	호러	 www.facebook.com/bwent.movie
호수의 이방인	0.1%	310명	알랭기로디		피에르델라돈챔프스,크리스토프파오우	스릴러,드라마	2016.07.07
러브	0.0%	432명	가스파노에		칼글루스맨,아오미뮈요크,클라라크리스틴	로맨스,멜로	2017.11.02
인페르노	0.0%	24,838명	론하워드		톰행크스,펠리시티존스,벤포스터	미스터리,스릴러	2016.10.19
명탐정 코난-순흑의 악몽	0.0%	7,616명	시즈노코분		김선혜,강수진,이정구,이현진,황원,한인숙,정선혜,여민정,우정신,이용신	액션,애니메이션,미스터리	 conan-movie.co.kr
SICAF2016	0.0%	29명				애니메이션	2016.07.06
[셜록홈즈 커뮤니케이션] CGV X 마이크임팩트 강연프로젝트 vol.5	0.2%	14명					2016.07.13
수어사이드 스쿼드	0.0%	44,173명	데이비드에이어		윌스미스,자레드레토,마고로비,스콧이스트우드,카라델레바인,제이코트니,조엘킨나만,비올라데이비스,아데웰아킨누오예아바제	액션	2016.08.03
마이펫의 이중생활	0.0%	36,205명	크리스리노드		루이스,에릭스톤스트릿,케빈하트	애니메이션,코미디,가족	2016.08.03
국가대표2	0.0%	10,925명	김종현		수애,오달수,오연서,하재숙,김슬기,김예원,진지희	드라마	2016.08.10
태풍이 지나가고	0.0%	4,794명	고레에다히로카즈		아베히로시,키키키린,마키요코,요시자와타이요,고바야시사토미	드라마	 facebook.com/cinecube
로빈슨 크루소	0.0%	1,492명	벤스타센,빈센트케스텔루트		유리로웬탈,데이비드호워드,콜린메츠거,라일라베르진,조이카멘,마리브헤링턴	애니메이션,어드벤처,코미디	 robinsoncrusoe.modoo.at
에이전트 오브 뷰티 쥬랜더 리턴즈	0.0%	273명	벤스틸러		벤스틸러,오웬윌슨,페넬로페크루즈,윌페렐,크리스틴위그,베네딕트컴버배치,저스틴비버	코미디	 www.facebook.com/daseinsoft
헝그리 하트	0.0%	119명	사베리오코스탄조		아담드라이버,알바로르와처	로맨스,스릴러	2016.06.30
버터플라이	0.0%	6명	필립뮬		미셀세로,클레어부아니흐,나드디유	드라마,코미디	 www.prevision.kr
워낭소리	0.0%	181명	이충렬		최원균,이삼순,최노인의소	다큐멘터리	 blog.naver.com/warnangsori
부에노스 아이레스 탱고 카페	0.0%	0명	미겔코한			다큐멘터리	 www.blog.naver.com/tango_2008
사랑 후에 남겨진 것들 	0.0%	2명	도리스되리		한넬로르엘스너,맥시밀리언브럭크너,나쟈울	드라마	2009.02.19
러브 인 클라우즈 	0.0%	0명	존듀이건		샤를리즈테론,페넬로페크루즈,스튜어트타운젠드	로맨스,드라마,전쟁	 blog.naver.com/lovein_1231
잃어버린 세계를 찾아서(디지털4D)	0.0%	56명	에릭브레빅		브렌단프레이저,조쉬허처슨	가족,,어드벤처	 www.journey2008.co.kr
로맨틱 아일랜드 	0.0%	5명	강철우		이선균,이수경,유진,이민기,이문식	로맨스,코미디	2008.12.23
니코 	0.0%	6명	마이클헤그너,카리유소넨			가족,애니메이션,어드벤처	2008.12.24
산타와 스노우맨: 세기의 대결(IMAX 3D)(더빙) 	0.0%	0명	존데이비스			가족,애니메이션	2008.12.18
신비의 바다(IMAX 3D)(더빙)	0.0%	0명	하워드홀			가족,다큐멘터리	2008.12.30
트랜스포터 - 라스트 미션 	0.0%	38명	올리베에메가턴		제이슨스태덤,프랑수와벨레앙,제로엔크라베	액션	 www.transporter3.co.kr
비발디 	0.0%	0명	장루이길예르모		스테파노디오니시,미셀세로	드라마,시대극	2009.01.08
로큰롤 인생	0.0%	1명	스티븐월커		밥실먼,아일린홀,밥샐비니,프레드니들	다큐멘터리	 blog.naver.com/rnrlife
볼트	0.0%	39명	바이론하워드,크리스윌리암스		존트라볼타,마일리사이러스	애니메이션,어드벤처,코미디	 www.bolt-movie.co.kr/
더 폴: 오디어스와 환상의 문	0.0%	2명	타셈싱		리페이스,카틴카언타루	환타지,드라마,어드벤처	 www.daisyent.co.kr/
예스 맨	0.0%	96명	페이튼리드		짐캐리,주이데샤넬	드라마,코미디	 www.yesman2008.kr
